ID,Event Type,X,Y,Selector,Content,Timestamp,Created At
314878,mousemove,840,427,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled > input.native-slider,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:57 UTC
314879,scroll,,,,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:57 UTC
314880,mousemove,795,430,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper,,2026-03-21 08:11:57 UTC,2026-03-21 08:11:57 UTC
314881,mousemove,511,438,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-ticks > span,,2026-03-21 08:11:57 UTC,2026-03-21 08:11:57 UTC
314882,mousemove,512,416,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:57 UTC,2026-03-21 08:11:57 UTC
314883,mousemove,515,409,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:00 UTC,2026-03-21 08:12:00 UTC
314884,mousemove,528,412,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:01 UTC,2026-03-21 08:12:01 UTC
314885,mousemove,539,412,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:01 UTC,2026-03-21 08:12:01 UTC
314886,mousemove,557,412,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:01 UTC,2026-03-21 08:12:01 UTC
314887,mousemove,568,413,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:02 UTC,2026-03-21 08:12:02 UTC
314888,click,573,415,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:02 UTC,2026-03-21 08:12:02 UTC
314889,mousemove,572,416,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:02 UTC,2026-03-21 08:12:02 UTC
314890,mousemove,538,402,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:02 UTC,2026-03-21 08:12:03 UTC
314891,mousemove,522,403,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:03 UTC,2026-03-21 08:12:03 UTC
314892,slider,,,.native-slider-6,,2026-03-21 08:12:03 UTC,2026-03-21 08:12:03 UTC
314893,slider,,,.native-slider-6,,2026-03-21 08:12:03 UTC,2026-03-21 08:12:03 UTC
314894,mousemove,576,418,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled,,2026-03-21 08:12:03 UTC,2026-03-21 08:12:03 UTC
314895,mousemove,552,418,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled,,2026-03-21 08:12:04 UTC,2026-03-21 08:12:04 UTC
314896,mousemove,541,442,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-ticks > span,,2026-03-21 08:12:04 UTC,2026-03-21 08:12:04 UTC
314897,mousemove,601,463,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-labels > span.label-min,,2026-03-21 08:12:04 UTC,2026-03-21 08:12:04 UTC
314898,scroll,,,,,2026-03-21 08:12:05 UTC,2026-03-21 08:12:05 UTC
314899,mousemove,591,462,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body,,2026-03-21 08:12:05 UTC,2026-03-21 08:12:05 UTC
314900,mousemove,588,455,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:12:05 UTC,2026-03-21 08:12:05 UTC
314901,mousemove,581,449,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:12:05 UTC,2026-03-21 08:12:05 UTC
314902,mousemove,512,498,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:06 UTC,2026-03-21 08:12:06 UTC
314903,mousemove,518,507,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:12:06 UTC,2026-03-21 08:12:06 UTC
314904,mousemove,558,466,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:12:07 UTC,2026-03-21 08:12:07 UTC
